1,19,33,1,01,0
1,19,45,1,01,0
1,19,22,1,03,0
1,19,74,1,06,0
1,19,73,1,09,0
1,19,75,1,12,0
1,19,77,1,15,0
1,19,79,1,15,0
1,19,402,1,18,0
1,19,36,1,21,0
1,19,230,1,24,0
1,19,235,1,27,0
1,19,388,1,30,0
1,19,38,1,33,0
1,19,76,1,36,0
1,19,130,2,0,0
1,19,80,2,0,0
1,19,174,2,0,0
1,19,275,2,0,0
1,19,267,2,0,0
1,19,92,2,0,0
1,19,345,4,0,0
1,19,76,4,0,0
1,19,113,4,0,0
1,19,219,4,0,0
1,19,156,4,0,0
1,19,173,4,0,0
1,19,182,4,0,0
1,19,202,4,0,0
1,19,204,4,0,0
1,19,213,4,0,0
1,19,241,4,0,0
1,19,263,4,0,0
1,19,270,4,0,0
1,19,311,4,0,0
1,19,331,4,0,0
1,19,474,4,0,0
1,19,496,4,0,0
1,19,580,4,0,0
1,19,206,4,0,0
1,19,14,4,0,0
1,19,34,4,0,0
1,19,133,4,0,0
1,19,164,4,0,0
1,19,188,4,0,0
1,19,203,4,0,0
1,19,214,4,0,0
1,19,402,4,0,0
1,19,412,4,0,0
1,19,437,4,0,0
1,19,438,4,0,0
1,19,447,4,0,0
1,19,526,4,0,0
1,20,804,3,0,0
2,19,33,1,01,0
2,19,45,1,01,0
2,19,22,1,01,0
2,19,74,1,01,0
2,19,73,1,09,0
2,19,75,1,12,0
2,19,77,1,15,0
2,19,79,1,15,0
2,19,402,1,20,0
2,19,36,1,25,0
2,19,230,1,30,0
2,19,235,1,35,0
2,19,388,1,40,0
2,19,38,1,45,0
2,19,76,1,50,0
2,19,345,4,0,0
2,19,76,4,0,0
2,19,113,4,0,0
2,19,219,4,0,0
2,19,156,4,0,0
2,19,173,4,0,0
2,19,182,4,0,0
2,19,202,4,0,0
2,19,204,4,0,0
2,19,213,4,0,0
2,19,241,4,0,0
2,19,263,4,0,0
2,19,270,4,0,0
2,19,311,4,0,0
2,19,331,4,0,0
2,19,474,4,0,0
2,19,496,4,0,0
2,19,580,4,0,0
2,19,206,4,0,0
2,19,14,4,0,0
2,19,34,4,0,0
2,19,133,4,0,0
2,19,164,4,0,0
2,19,188,4,0,0
2,19,203,4,0,0
